epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.62576,1.02365,2.9105,1.5298,0.00409,1,0.48219,0.39409,0.70653,3.27591,1.41624,0,0,0
2,11.603,1.22368,2.88605,1.52052,0.00405,1,0.49604,0.40534,0.70781,3.28131,1.39145,1.58448e-05,1.58448e-05,1.58448e-05
3,17.4226,0.973,2.80859,1.39557,0.004,1,0.58437,0.46501,0.69225,3.26679,1.36806,3.00393e-05,3.00393e-05,3.00393e-05
4,23.0417,0.93793,2.84438,1.36491,0.00392,1,0.58715,0.4562,0.65879,3.25299,1.35372,4.25835e-05,4.25835e-05,4.25835e-05
5,28.7721,0.83733,2.83671,1.36548,0.00385,1,0.59784,0.48875,0.6478,3.2281,1.33055,5.34774e-05,5.34774e-05,5.34774e-05
6,34.9475,0.87323,2.76314,1.36936,0.00375,1,0.6965,0.55797,0.63073,3.2017,1.33749,6.27209e-05,6.27209e-05,6.27209e-05
7,41.0441,0.90671,2.7097,1.4012,0.00374,1,0.74625,0.5928,0.55541,3.19253,1.3106,7.03141e-05,7.03141e-05,7.03141e-05
8,46.9167,0.79464,2.57139,1.21526,0.00367,1,0.74625,0.62808,0.49103,3.20289,1.29015,7.62569e-05,7.62569e-05,7.62569e-05
9,52.7094,0.84065,2.53159,1.36712,0.0036,1,0.74625,0.62187,0.52626,3.20023,1.30759,8.05494e-05,8.05494e-05,8.05494e-05
10,58.5802,0.72111,2.4322,1.21421,0.00355,1,0.74625,0.62808,0.5618,3.20694,1.31077,8.31916e-05,8.31916e-05,8.31916e-05
11,64.6334,0.66446,2.77529,1.28031,0.00347,1,0.82917,0.64257,0.59123,3.20275,1.32668,8.41835e-05,8.41835e-05,8.41835e-05
12,70.3061,0.68161,2.67562,1.25227,0.00344,1,0.82917,0.62594,0.56644,3.18783,1.30937,8.3525e-05,8.3525e-05,8.3525e-05
13,76.044,0.7107,2.59154,1.28525,0.00343,1,0.82917,0.65084,0.58955,3.17993,1.35077,8.12162e-05,8.12162e-05,8.12162e-05
14,81.7969,0.59288,2.39471,1.25075,0.00341,1,0.91167,0.71279,0.59326,3.15271,1.36702,7.72571e-05,7.72571e-05,7.72571e-05
15,87.9618,0.62741,2.22069,1.19649,0.0034,1,0.91167,0.71279,0.60851,3.12282,1.38897,7.16477e-05,7.16477e-05,7.16477e-05
16,93.7339,0.67185,2.31355,1.35235,0.00342,1,0.91167,0.72106,0.60728,3.11098,1.38806,6.43879e-05,6.43879e-05,6.43879e-05
17,99.5479,0.52227,1.99773,1.17602,0.00341,1,0.91167,0.71279,0.57972,3.09524,1.37944,5.54778e-05,5.54778e-05,5.54778e-05
18,105.423,0.46695,2.02257,1.06944,0.00341,1,0.91167,0.71279,0.57972,3.09524,1.37944,4.49173e-05,4.49173e-05,4.49173e-05
19,111.346,0.50737,2.14326,1.1632,0.0034,1,0.91167,0.72727,0.58599,3.0802,1.38784,3.27065e-05,3.27065e-05,3.27065e-05
20,117.001,0.5767,1.98272,1.18963,0.0034,1,0.91167,0.72727,0.58599,3.0802,1.38784,1.88454e-05,1.88454e-05,1.88454e-05
